group,variable,value,Gene Annotation
rs12737739,BRN.EMB.BRN,17,intronic
rs12737739,BRN.EMB.BRN,18,intronic
rs12737739,BRN.EMB.BRN,18,intronic
rs12737739,BRN.EMB.BRN,18,intronic
rs12737739,BRN.EMB.BRN,17,intronic
rs12737739,BRN.EMB.BRN,18,intronic
rs12737739,BRN.EMB.BRN,17,intronic
rs12737739,BRN.EMB.BRN,18,intronic
rs12737739,BRN.EMB.BRN,18,intronic
rs12737739,BRN.EMB.BRN,18,intronic
rs12737739,BRN.EMB.BRN,18,intronic
rs12737739,BRN.EMB.BRN,17,intronic
rs12737739,BRN.EMB.BRN,17,intronic
rs12737739,BRN.EMB.BRN,18,intronic
rs12737739,BRN.EMB.GERM.MTX,17,intronic
rs12737739,BRN.FTL.CTX,6,intronic
rs12737739,BRN.FTL.CTX,6,intronic
rs12737739,BRN.GLOB.PD,17,intronic
rs12737739,BRN.HPC,17,intronic
rs12737739,BRN.HPC,17,intronic
rs12737739,BRN.HPC,17,intronic
rs12737739,BRN.INF.PAR.CTX,17,intronic
rs12737739,BRN.MED.OBL,17,intronic
rs12737739,BRN.MID.FTL,17,intronic
rs12737739,BRN.MID.FTL,17,intronic
rs12737739,BRN.MID.FTL.GYR,17,intronic
rs12737739,BRN.MIDBRN,17,intronic
rs12737739,BRN.OCC.LB,18,intronic
rs12737739,BRN.PONS,18,intronic
rs12737739,BRN.PTMN,17,intronic
rs12737739,CA.ACC.ACC112,17,intronic
rs12737739,CA.ALL.DND41,17,intronic
rs12737739,CA.ALL.KOPTK1,18,intronic
rs12737739,CA.ALL.LOUCY,18,intronic
rs12737739,CA.APL.HL60,17,intronic
rs12737739,CA.APL.NB4,18,intronic
rs12737739,CA.BCL.DOHH2,17,intronic
rs12737739,CA.BCL.KARPAS422,18,intronic
rs12737739,CA.BCL.OCILY1,17,intronic
rs12737739,CA.BCL.OCILY3,17,intronic
rs12737739,CA.BCL.OCILY7,18,intronic
rs12737739,CA.BKTL.NAMALWA,17,intronic
rs12737739,CA.BKTL.NAMALWA,18,intronic
rs12737739,CA.BRCA.MCF7,18,intronic
rs12737739,CA.BRCA.MCF7,18,intronic
rs12737739,CA.BRCA.MCF7,18,intronic
rs12737739,CA.BRCA.MCF7,18,intronic
rs12737739,CA.BRCA.MCF7,18,intronic
rs12737739,CA.CCRCC.CAKI1,18,intronic
rs12737739,CA.CRC.CACO2,18,intronic
rs12737739,CA.CRC.HCT116,18,intronic
rs12737739,CA.CRC.HT29,18,intronic
rs12737739,CA.CRC.LOVO,18,intronic
rs12737739,CA.CRC.RKO,17,intronic
rs12737739,CA.CVX.HELAS3,18,intronic
rs12737739,CA.CVX.HELAS3,18,intronic
rs12737739,CA.CVX.HELAS3.G1B,18,intronic
rs12737739,CA.DESM.MEDBM.DAOY,17,intronic
rs12737739,CA.EWINGSC.A673,18,intronic
rs12737739,CA.FIBROSC.HT1080,18,intronic
rs12737739,CA.GLIOBM.A172,18,intronic
rs12737739,CA.GLIOBM.H54,6,intronic
rs12737739,CA.GLIOBM.M059J,18,intronic
rs12737739,CA.HAPLOID.ML.HAP1,18,intronic
rs12737739,CA.HCC.HEPG2,17,intronic
rs12737739,CA.HCC.HUH7,18,intronic
rs12737739,CA.HCC.HUH75,6,intronic
rs12737739,CA.LUAD.PC9,18,intronic
rs12737739,CA.LUEPITH.A549,18,intronic
rs12737739,CA.LUEPITH.A549,18,intronic
rs12737739,CA.LUEPITH.A549,18,intronic
rs12737739,CA.LUEPITH.A549,18,intronic
rs12737739,CA.LUEPITH.A549,18,intronic
rs12737739,CA.LUEPITH.A549,18,intronic
rs12737739,CA.LUEPITH.A549,18,intronic
rs12737739,CA.LUEPITH.A549,18,intronic
rs12737739,CA.LUEPITH.A549,6,intronic
rs12737739,CA.LUEPITH.A549,18,intronic
rs12737739,CA.LUEPITH.A549,18,intronic
rs12737739,CA.LUEPITH.A549,18,intronic
rs12737739,CA.LUEPITH.A549,18,intronic
rs12737739,CA.LUEPITH.A549,18,intronic
rs12737739,CA.LUEPITH.A549,18,intronic
rs12737739,CA.LUEPITH.A549,18,intronic
rs12737739,CA.LUEPITH.A549,18,intronic
rs12737739,CA.LUEPITH.A549,18,intronic
rs12737739,CA.MEDBM,18,intronic
rs12737739,CA.MELAN.COLO829,17,intronic
rs12737739,CA.MELAN.RPMI7951,17,intronic
rs12737739,CA.MELAN.SKMEL5,18,intronic
rs12737739,CA.ML.CMK,17,intronic
rs12737739,CA.ML.K562,17,intronic
rs12737739,CA.ML.K562,17,intronic
rs12737739,CA.ML.K562,17,intronic
rs12737739,CA.ML.K562,17,intronic
rs12737739,CA.ML.K562.G1,17,intronic
rs12737739,CA.ML.K562.G2,17,intronic
rs12737739,CA.ML.KBM7,18,intronic
rs12737739,CA.MYELOMA.KMS11,17,intronic
rs12737739,CA.MYELOMA.MM1S,16,intronic
rs12737739,CA.MYELOMA.NCIH929,17,intronic
rs12737739,CA.MYELOMA.PC.RPMI8226,17,intronic
rs12737739,CA.NEUROBM.BE2C,18,intronic
rs12737739,CA.NEUROBM.SKNDSH,18,intronic
rs12737739,CA.NEUROBM.SKNDSH,17,intronic
rs12737739,CA.NEUROBM.SKNDZ,18,intronic
rs12737739,CA.NEUROBM.SKNDZ,18,intronic
rs12737739,CA.NEUROEPTH.SKNDMC,18,intronic
rs12737739,CA.NEUROGLIOMA.h4,17,intronic
rs12737739,CA.NSCLC.NCIH460,18,intronic
rs12737739,CA.OSTSARC.MG63,17,intronic
rs12737739,CA.OSTSARC.SJSA1,17,intronic
rs12737739,CA.PAAD.8988T,6,intronic
rs12737739,CA.PANC.DUCT.EPITH.PANC1,18,intronic
rs12737739,CA.PRAD.C42B,18,intronic
rs12737739,CA.PRAD.EPITH.22RV1,18,intronic
rs12737739,CA.PRAD.EPITH.22RV1,18,intronic
rs12737739,CA.PRAD.LNCAP,18,intronic
rs12737739,CA.PRAD.LNCAP,18,intronic
rs12737739,CA.PRAD.PC3,18,intronic
rs12737739,CA.PTHC,17,intronic
rs12737739,CA.PTHC,17,intronic
rs12737739,CA.RCC,18,intronic
rs12737739,CA.RCC.ACHN,18,intronic
rs12737739,CA.RCC.RCC7860,18,intronic
rs12737739,CA.RMS.SJCRH30,17,intronic
rs12737739,CA.RTK.RHABOID.G401,18,intronic
rs12737739,CA.SCC.NCIH226,17,intronic
rs12737739,CA.TSTC.NT2D1,17,intronic
rs12737739,CA.UCEC.ISHIKAWA,18,intronic
rs12737739,CA.UCEC.ISHIKAWA,6,intronic
rs12737739,CA.UCEC.ISHIKAWA,6,intronic
rs12737739,EDCR.ADRENAL.GLD,17,intronic
rs12737739,EDCR.ADRENAL.GLD,18,intronic
rs12737739,EDCR.ADRENAL.GLD,18,intronic
rs12737739,EDCR.ADRENAL.GLD,13,intronic
rs12737739,EDCR.ADRENAL.GLD,18,intronic
rs12737739,EDCR.ADRENAL.GLD,18,intronic
rs12737739,EDCR.EMB.ADRENAL.GLD,18,intronic
rs12737739,EDCR.EMB.ADRENAL.GLD,18,intronic
rs12737739,EDCR.EMB.ADRENAL.GLD,18,intronic
rs12737739,EDCR.EMB.ADRENAL.GLD,18,intronic
rs12737739,EDCR.EMB.ADRENAL.GLD,17,intronic
rs12737739,EDCR.EMB.ADRENAL.GLD,17,intronic
rs12737739,EDCR.EMB.ADRENAL.GLD,17,intronic
rs12737739,EDCR.EMB.ADRENAL.GLD,17,intronic
rs12737739,EDCR.ENDOC.PANC,17,intronic
rs12737739,EDCR.ENDOC.PANC,18,intronic
rs12737739,EDCR.ENDOC.PANC,18,intronic
rs12737739,EDCR.ENDOC.PANC,17,intronic
rs12737739,EDCR.REPR.EMB.OVARY,18,intronic
rs12737739,EDCR.REPR.OVARY,18,intronic
rs12737739,EDCR.REPR.OVARY,18,intronic
rs12737739,EDCR.REPR.OVARY,18,intronic
rs12737739,EDTH.BRN.MICV.ENDOTH,17,intronic
rs12737739,EDTH.DERM.BLD.VES.ENDOTH,17,intronic
rs12737739,EDTH.DERM.BLD.VES.ENDOTH,17,intronic
rs12737739,EDTH.DERM.LYMPH.VES.ENDOTH,18,intronic
rs12737739,EDTH.DERM.LYMPH.VES.ENDOTH,17,intronic
rs12737739,EDTH.EMB.KDNY.CAP.ENDOTH,17,intronic
rs12737739,EDTH.GLOM.ENDOTH,18,intronic
rs12737739,EDTH.LNG.ART.ENDOTH,18,intronic
rs12737739,EDTH.LNG.MICV.ENDOTH,18,intronic
rs12737739,EDTH.UBM.VEIN.ENDOTH,18,intronic
rs12737739,EDTH.UBM.VEIN.ENDOTH,17,intronic
rs12737739,EPTH.AMNION.EPITH,17,intronic
rs12737739,EPTH.BREAST.EPITH,18,intronic
rs12737739,EPTH.BREAST.EPITH,18,intronic
rs12737739,EPTH.BREAST.EPITH,18,intronic
rs12737739,EPTH.CHOROID.PLEX.EPITH,17,intronic
rs12737739,EPTH.CILIARY.NONPGMT.EPITH,17,intronic
rs12737739,EPTH.COLON.EPITH,17,intronic
rs12737739,EPTH.EMB.SKIN.BDY,18,intronic
rs12737739,EPTH.ESOPH.EPITH,17,intronic
rs12737739,EPTH.FORESKIN.KRTN,18,intronic
rs12737739,EPTH.FORESKIN.KRTN,18,intronic
rs12737739,EPTH.FORESKIN.KRTN,18,intronic
rs12737739,EPTH.FORESKIN.KRTN,18,intronic
rs12737739,EPTH.GLOM.EPITH,17,intronic
rs12737739,EPTH.GLOM.VISC.EPTIH,17,intronic
rs12737739,EPTH.IRIS.PGMT.EPITH,17,intronic
rs12737739,EPTH.KDNY.EPITH,17,intronic
rs12737739,EPTH.KDNY.TUBULE,18,intronic
rs12737739,EPTH.KDNY.TUBULE,18,intronic
rs12737739,EPTH.KRTN,18,intronic
rs12737739,EPTH.KRTN,18,intronic
rs12737739,EPTH.LNG.BRONHC.EPITH,17,intronic
rs12737739,EPTH.LNG.BRONHC.EPITH,17,intronic
rs12737739,EPTH.MARROW.EPITH,17,intronic
rs12737739,EPTH.MMRY.EPITH,18,intronic
rs12737739,EPTH.MMRY.EPITH,18,intronic
rs12737739,EPTH.MMRY.EPITH,18,intronic
rs12737739,EPTH.MMRY.LMN.EPITH,18,intronic
rs12737739,EPTH.MMRY.MYOEPITH,18,intronic
rs12737739,EPTH.MMRY.MYOEPITH,17,intronic
rs12737739,EPTH.PANC.DUCT.EPITH,18,intronic
rs12737739,EPTH.PROST.EPITH,18,intronic
rs12737739,EPTH.PROST.EPITH,18,intronic
rs12737739,EPTH.PROST.EPITH,18,intronic
rs12737739,EPTH.PROST.EPITH,18,intronic
rs12737739,EPTH.PROX.TUB.EPITH,17,intronic
rs12737739,EPTH.PROX.TUB.EPITH,18,intronic
rs12737739,EPTH.RENAL.CTX.EPITH,18,intronic
rs12737739,EPTH.RETINAL.EPITH,17,intronic
rs12737739,EPTH.SKIN.LEG,18,intronic
rs12737739,EPTH.SKIN.LEG,18,intronic
rs12737739,ESC.ELF1,18,intronic
rs12737739,ESC.ESI3,18,intronic
rs12737739,ESC.H1HESC,17,intronic
rs12737739,ESC.H7HESC,18,intronic
rs12737739,ESC.H9,18,intronic
rs12737739,ESC.HUES48,18,intronic
rs12737739,ESC.HUES6,17,intronic
rs12737739,ESC.HUES64,18,intronic
rs12737739,ESDV.BIPOLAR.NEURON,17,intronic
rs12737739,ESDV.CARD.MESODERM,18,intronic
rs12737739,ESDV.CARD.MUSCLE,18,intronic
rs12737739,ESDV.ECTODERM,17,intronic
rs12737739,ESDV.ENDODERM,18,intronic
rs12737739,ESDV.ENDODERM,17,intronic
rs12737739,ESDV.HEPATOCYTE,18,intronic
rs12737739,ESDV.MESENCH.STEM,6,intronic
rs12737739,ESDV.MESENDODERM,18,intronic
rs12737739,ESDV.MESODERM,17,intronic
rs12737739,ESDV.NEURAL.CELL,18,intronic
rs12737739,ESDV.NEURAL.PROG,18,intronic
rs12737739,ESDV.NEURAL.PROG,18,intronic
rs12737739,ESDV.NEURAL.PROG,18,intronic
rs12737739,ESDV.NEURAL.PROG,17,intronic
rs12737739,ESDV.NEURON,17,intronic
rs12737739,ESDV.SM.MUSCLE,18,intronic
rs12737739,EYE.EMB.EYE,18,intronic
rs12737739,EYE.EMB.EYE,17,intronic
rs12737739,EYE.EMB.RETINA,17,intronic
rs12737739,EYE.EMB.RETINA,18,intronic
rs12737739,EYE.EMB.RETINA,18,intronic
rs12737739,GI.COLON.MUC,17,intronic
rs12737739,GI.COLON.MUC,17,intronic
rs12737739,GI.DUOD.MUC,17,intronic
rs12737739,GI.DUOD.MUC,17,intronic
rs12737739,GI.EMB.LARGE.INT,17,intronic
rs12737739,GI.EMB.LARGE.INT,18,intronic
rs12737739,GI.EMB.LARGE.INT,18,intronic
rs12737739,GI.EMB.LARGE.INT,18,intronic
rs12737739,GI.EMB.LARGE.INT,18,intronic
rs12737739,GI.EMB.LARGE.INT,18,intronic
rs12737739,GI.EMB.LARGE.INT,18,intronic
rs12737739,GI.EMB.LARGE.INT,18,intronic
rs12737739,GI.EMB.LARGE.INT,17,intronic
rs12737739,GI.EMB.LARGE.INT,17,intronic
rs12737739,GI.EMB.LARGE.INT,18,intronic
rs12737739,GI.EMB.LARGE.INT,18,intronic
rs12737739,GI.EMB.LARGE.INT,18,intronic
rs12737739,GI.EMB.SMALL.INT,18,intronic
rs12737739,GI.EMB.SMALL.INT,18,intronic
rs12737739,GI.EMB.SMALL.INT,18,intronic
rs12737739,GI.EMB.SMALL.INT,18,intronic
rs12737739,GI.EMB.SMALL.INT,18,intronic
rs12737739,GI.EMB.SMALL.INT,18,intronic
rs12737739,GI.EMB.SMALL.INT,18,intronic
rs12737739,GI.EMB.SMALL.INT,18,intronic
rs12737739,GI.EMB.SMALL.INT,17,intronic
rs12737739,GI.EMB.SMALL.INT,18,intronic
rs12737739,GI.EMB.SMALL.INT,18,intronic
rs12737739,GI.EMB.SMALL.INT,18,intronic
rs12737739,GI.EMB.STOMACH,18,intronic
rs12737739,GI.EMB.STOMACH,17,intronic
rs12737739,GI.EMB.STOMACH,18,intronic
rs12737739,GI.EMB.STOMACH,17,intronic
rs12737739,GI.EMB.STOMACH,18,intronic
rs12737739,GI.EMB.STOMACH,18,intronic
rs12737739,GI.EMB.STOMACH,17,intronic
rs12737739,GI.EMB.STOMACH,17,intronic
rs12737739,GI.EMB.STOMACH,17,intronic
rs12737739,GI.EMB.STOMACH,18,intronic
rs12737739,GI.ESOPH,18,intronic
rs12737739,GI.ESOPH,17,intronic
rs12737739,GI.ESOPH.MUSC.MUC,18,intronic
rs12737739,GI.ESOPH.MUSC.MUC,18,intronic
rs12737739,GI.ESOPH.SQUAM.EPITH,17,intronic
rs12737739,GI.ESOPH.SQUAM.EPITH,18,intronic
rs12737739,GI.GAST.ESOPH.SPHCTR,17,intronic
rs12737739,GI.PEYER.PATCH,18,intronic
rs12737739,GI.PEYER.PATCH,17,intronic
rs12737739,GI.PEYER.PATCH,18,intronic
rs12737739,GI.RECT.MUC,17,intronic
rs12737739,GI.RECT.MUC,17,intronic
rs12737739,GI.SIG.COLON,18,intronic
rs12737739,GI.SIG.COLON,18,intronic
rs12737739,GI.SIG.COLON,17,intronic
rs12737739,GI.SIG.COLON,18,intronic
rs12737739,GI.SIG.COLON,17,intronic
rs12737739,GI.SMALL.INT,18,intronic
rs12737739,GI.SMALL.INT,18,intronic
rs12737739,GI.SMALL.INT,17,intronic
rs12737739,GI.STOMACH,18,intronic
rs12737739,GI.STOMACH,17,intronic
rs12737739,GI.STOMACH,17,intronic
rs12737739,GI.STOMACH,18,intronic
rs12737739,GI.STOMACH,18,intronic
rs12737739,GI.STOMACH,17,intronic
rs12737739,GI.STOMACH.MUC,17,intronic
rs12737739,HRT.AORTA,18,intronic
rs12737739,HRT.AORTA,17,intronic
rs12737739,HRT.ASC.AORTA,18,intronic
rs12737739,HRT.ASC.AORTA,17,intronic
rs12737739,HRT.CORONARY.ATY,18,intronic
rs12737739,HRT.CORONARY.ATY,18,intronic
rs12737739,HRT.EMB.HEART,18,intronic
rs12737739,HRT.EMB.HEART,18,intronic
rs12737739,HRT.EMB.HEART,18,intronic
rs12737739,HRT.EMB.HEART,18,intronic
rs12737739,HRT.EMB.HEART,18,intronic
rs12737739,HRT.EMB.HEART,18,intronic
rs12737739,HRT.EMB.HEART,18,intronic
rs12737739,HRT.EMB.HEART,18,intronic
rs12737739,HRT.EMB.HEART,18,intronic
rs12737739,HRT.EMB.HEART,18,intronic
rs12737739,HRT.EMB.HEART,18,intronic
rs12737739,HRT.EMB.HEART,17,intronic
rs12737739,HRT.EMB.HEART,18,intronic
rs12737739,HRT.EMB.HEART,18,intronic
rs12737739,HRT.EMB.HEART,18,intronic
rs12737739,HRT.EMB.HEART,17,intronic
rs12737739,HRT.EMB.HEART,18,intronic
rs12737739,HRT.EMB.LEFT.ATRIUM,18,intronic
rs12737739,HRT.EMB.LEFT.VENTR,18,intronic
rs12737739,HRT.EMB.LEFT.VENTR,18,intronic
rs12737739,HRT.EMB.RIGHT.VENTR,18,intronic
rs12737739,HRT.HEART,6,intronic
rs12737739,HRT.HEART,18,intronic
rs12737739,HRT.LEFT.VENTR,18,intronic
rs12737739,HRT.LEFT.VENTR,17,intronic
rs12737739,HRT.LEFT.VENTR,17,intronic
rs12737739,HRT.RIGHT.ATRIUM,18,intronic
rs12737739,HRT.RIGHT.ATRIUM,17,intronic
rs12737739,HRT.RIGHT.ATRIUM,13,intronic
rs12737739,HRT.RIGHT.VENTR,6,intronic
rs12737739,HRT.RIGHT.VENTR,17,intronic
rs12737739,HSC.B,18,intronic
rs12737739,HSC.B,18,intronic
rs12737739,HSC.B,18,intronic
rs12737739,HSC.B,17,intronic
rs12737739,HSC.B,17,intronic
rs12737739,HSC.B,17,intronic
rs12737739,HSC.B,17,intronic
rs12737739,HSC.B,17,intronic
rs12737739,HSC.CD14.MONOCYTE,5,intronic
rs12737739,HSC.CD14.MONOCYTE,6,intronic
rs12737739,HSC.CD14.MONOCYTE,5,intronic
rs12737739,HSC.CD14.MONOCYTE,6,intronic
rs12737739,HSC.CD1C.DC,18,intronic
rs12737739,HSC.CD34.CMP,6,intronic
rs12737739,HSC.CD34.CMP,18,intronic
rs12737739,HSC.CD34.CMP,18,intronic
rs12737739,HSC.CD34.CMP,18,intronic
rs12737739,HSC.CD34.CMP,18,intronic
rs12737739,HSC.CD34.CMP,18,intronic
rs12737739,HSC.CD34.CMP,18,intronic
rs12737739,HSC.CD34.CMP,18,intronic
rs12737739,HSC.CD34.CMP,18,intronic
rs12737739,HSC.CD34.CMP,18,intronic
rs12737739,HSC.CD34.CMP,18,intronic
rs12737739,HSC.CD34.CMP,18,intronic
rs12737739,HSC.CD34.CMP,18,intronic
rs12737739,HSC.GERM.CTR,18,intronic
rs12737739,HSC.LYMPHOCYTE,18,intronic
rs12737739,HSC.MPP,18,intronic
rs12737739,HSC.MPP,17,intronic
rs12737739,HSC.MPP,17,intronic
rs12737739,HSC.MPP,17,intronic
rs12737739,HSC.MPP,17,intronic
rs12737739,HSC.MPP,17,intronic
rs12737739,HSC.MPP,18,intronic
rs12737739,HSC.MPP,18,intronic
rs12737739,HSC.MPP,6,intronic
rs12737739,HSC.MPP,17,intronic
rs12737739,HSC.NK,17,intronic
rs12737739,HSC.NK,18,intronic
rs12737739,HSC.NK,17,intronic
rs12737739,HSC.NTPHIL,5,intronic
rs12737739,HSC.NTPHIL,5,intronic
rs12737739,IPSC.11A,18,intronic
rs12737739,IPSC.15b,18,intronic
rs12737739,IPSC.18a,17,intronic
rs12737739,IPSC.18c,17,intronic
rs12737739,IPSC.20b,18,intronic
rs12737739,IPSC.CWRU1,18,intronic
rs12737739,IPSC.DF19.11,6,intronic
rs12737739,IPSC.DF19.7,18,intronic
rs12737739,IPSC.DF4.7,18,intronic
rs12737739,IPSC.DF6.9,18,intronic
rs12737739,IPSC.GM23338,18,intronic
rs12737739,IPSC.L1S8,18,intronic
rs12737739,IPSC.L1S8R,18,intronic
rs12737739,IPSC.NIHI11,18,intronic
rs12737739,IPSC.NIHI7,18,intronic
rs12737739,KDNY.EMB.KDNY.CELL,18,intronic
rs12737739,KDNY.EMB.KDNY.CELL,18,intronic
rs12737739,KDNY.EMB.KIDNEY,18,intronic
rs12737739,KDNY.EMB.KIDNEY,18,intronic
rs12737739,KDNY.EMB.KIDNEY,18,intronic
rs12737739,KDNY.EMB.KIDNEY,18,intronic
rs12737739,KDNY.EMB.KIDNEY,18,intronic
rs12737739,KDNY.EMB.KIDNEY,18,intronic
rs12737739,KDNY.EMB.KIDNEY,18,intronic
rs12737739,KDNY.EMB.KIDNEY,18,intronic
rs12737739,KDNY.EMB.KIDNEY,17,intronic
rs12737739,KDNY.EMB.KIDNEY,17,intronic
rs12737739,KDNY.EMB.KIDNEY,18,intronic
rs12737739,KDNY.EMB.KIDNEY,17,intronic
rs12737739,KDNY.EMB.KIDNEY,17,intronic
rs12737739,KDNY.EMB.KIDNEY,17,intronic
rs12737739,KDNY.EMB.KIDNEY,17,intronic
rs12737739,KDNY.EMB.KIDNEY,18,intronic
rs12737739,KDNY.EMB.KIDNEY,18,intronic
rs12737739,KDNY.EMB.KIDNEY,18,intronic
rs12737739,KDNY.EMB.KIDNEY,18,intronic
rs12737739,KDNY.EMB.KIDNEY,18,intronic
rs12737739,KDNY.EMB.KIDNEY,18,intronic
rs12737739,KDNY.EMB.KIDNEY,18,intronic
rs12737739,KDNY.EMB.KIDNEY,17,intronic
rs12737739,KDNY.EMB.KIDNEY,17,intronic
rs12737739,KDNY.EMB.KIDNEY,18,intronic
rs12737739,KDNY.EMB.KIDNEY,18,intronic
rs12737739,KDNY.EMB.KIDNEY,18,intronic
rs12737739,KDNY.EMB.KIDNEY,17,intronic
rs12737739,KDNY.EMB.KIDNEY,17,intronic
rs12737739,KDNY.EMB.KIDNEY,18,intronic
rs12737739,KDNY.EMB.KIDNEY,18,intronic
rs12737739,KDNY.EMB.RENAL.CTX.ITSM,18,intronic
rs12737739,KDNY.EMB.RENAL.CTX.ITSM,17,intronic
rs12737739,KDNY.EMB.RENAL.CTX.ITSM,18,intronic
rs12737739,KDNY.EMB.RENAL.CTX.ITSM,18,intronic
rs12737739,KDNY.EMB.RENAL.CTX.ITSM,18,intronic
rs12737739,KDNY.EMB.RENAL.CTX.ITSM,18,intronic
rs12737739,KDNY.EMB.RENAL.CTX.ITSM,17,intronic
rs12737739,KDNY.EMB.RENAL.CTX.ITSM,18,intronic
rs12737739,KDNY.EMB.RENAL.CTX.ITSM,17,intronic
rs12737739,KDNY.EMB.RENAL.CTX.ITSM,18,intronic
rs12737739,KDNY.EMB.RENAL.CTX.ITSM,18,intronic
rs12737739,KDNY.EMB.RENAL.CTX.ITSM,17,intronic
rs12737739,KDNY.EMB.RENAL.CTX.ITSM,17,intronic
rs12737739,KDNY.EMB.RENAL.PELVIS,17,intronic
rs12737739,KDNY.EMB.RENAL.PELVIS,18,intronic
rs12737739,KDNY.EMB.RENAL.PELVIS,18,intronic
rs12737739,KDNY.EMB.RENAL.PELVIS,18,intronic
rs12737739,KDNY.EMB.RENAL.PELVIS,18,intronic
rs12737739,KDNY.EMB.RENAL.PELVIS,18,intronic
rs12737739,KDNY.EMB.RENAL.PELVIS,18,intronic
rs12737739,KDNY.EMB.RENAL.PELVIS,18,intronic
rs12737739,KDNY.EMB.RENAL.PELVIS,17,intronic
rs12737739,KDNY.EMB.RENAL.PELVIS,18,intronic
rs12737739,KDNY.EMB.RENAL.PELVIS,18,intronic
rs12737739,KDNY.EMB.RENAL.PELVIS,18,intronic
rs12737739,KDNY.EMB.RENAL.PELVIS,18,intronic
rs12737739,KDNY.KIDNEY,17,intronic
rs12737739,KDNY.KIDNEY,17,intronic
rs12737739,LCL.LCL.GM06990,17,intronic
rs12737739,LCL.LCL.GM08714,18,intronic
rs12737739,LCL.LCL.GM10248,6,intronic
rs12737739,LCL.LCL.GM10266,18,intronic
rs12737739,LCL.LCL.GM12864,17,intronic
rs12737739,LCL.LCL.GM12865,18,intronic
rs12737739,LCL.LCL.GM12875,18,intronic
rs12737739,LCL.LCL.GM12878,17,intronic
rs12737739,LCL.LCL.GM12891,6,intronic
rs12737739,LCL.LCL.GM12892,6,intronic
rs12737739,LCL.LCL.GM18507,18,intronic
rs12737739,LCL.LCL.GM19238,6,intronic
rs12737739,LCL.LCL.GM19239,6,intronic
rs12737739,LCL.LCL.GM19240,18,intronic
rs12737739,LNG.EMB.LUNG,18,intronic
rs12737739,LNG.EMB.LUNG,18,intronic
rs12737739,LNG.EMB.LUNG,18,intronic
rs12737739,LNG.EMB.LUNG,17,intronic
rs12737739,LNG.EMB.LUNG,17,intronic
rs12737739,LNG.EMB.LUNG,18,intronic
rs12737739,LNG.EMB.LUNG,18,intronic
rs12737739,LNG.EMB.LUNG,18,intronic
rs12737739,LNG.EMB.LUNG,18,intronic
rs12737739,LNG.EMB.LUNG,18,intronic
rs12737739,LNG.EMB.LUNG,18,intronic
rs12737739,LNG.EMB.LUNG,18,intronic
rs12737739,LNG.EMB.LUNG,18,intronic
rs12737739,LNG.EMB.LUNG,18,intronic
rs12737739,LNG.EMB.LUNG,17,intronic
rs12737739,LNG.EMB.LUNG,18,intronic
rs12737739,LNG.EMB.LUNG,18,intronic
rs12737739,LNG.EMB.LUNG,18,intronic
rs12737739,LNG.EMB.LUNG,18,intronic
